Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2018-12-31,2018/327,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID),links,mitte
2014-03-26,2014/96,Eva-Maria Würth,SP,Karin Weyermann,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2019-03-20,2019/108,Markus Baumann,GLP,Marco Geissbühler,SP,Sozialdepartement (SD),mitte,links
2007-12-05,2007/639,Walter Angst,AL,Jean-Claude Virchaux,CVP,Sozialdepartement (SD),links,mitte
2013-06-05,2013/209,Marco Denoth,SP,Markus Hungerbühler,CVP,Polizeidepartement (PD),links,mitte
2017-06-14,2017/188,Ann-Catherine Nabholz,GLP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2002-06-19,2002/218,Marcel Savarioud,SP,Gerold Lauber,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2019-12-04,2019/524,Marion Schmid,SP,Corina Ursprung,FDP,Sozialdepartement (SD),links,rechts
2008-02-06,2008/87,Gregor Bucher,Grüne,Mischa Morgenbesser,FDP,Schul- und Sportdepartement (SSD),links,rechts
2002-11-27,2002/519,Rolf Kuhn,SP,Anton Stäbler,CVP,Sozialdepartement (SD),links,mitte
2018-11-21,2015/405,Roger Tognella,FDP,Marco Denoth,SP,Sicherheitsdepartement (SID),rechts,links
2018-11-07,2018/426,Corina Gredig,GLP,Jean-Daniel Strub,SP,Präsidialdepartement (PRD),mitte,links
2004-12-31,2004/158,Georg Schmid,CVP,Werner Sieg,SP,Hochbaudepartement (HBD),mitte,links
2013-01-16,2013/13,Gian von Planta,GLP,Patrick Hadi Huber,SP,Tiefbau- und Entsorgungsdepartement (TED),mitte,links
2019-02-06,2019/66,Andri Silberschmidt,FDP,Vera Ziswiler,SP,Finanzdepartement (FD),rechts,links
2015-05-27,2015/160,Roger-Paul Speck,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
