,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
1588,30.11.2005,2005/506,Theo Hauri,SVP,Hans Marolf,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1589,13.3.2001,2001/122,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
1590,12.12.2001,2001/644,Monika Erfigen,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
1591,29.6.2005,2005/260,Roger Liebi,SVP,Mauro Tuena,SVP,Präsidialdepartement (PRD)
1592,19.11.2008,2008/525,Gabriele Kisker,Grüne,Bernhard Piller,Grüne,Finanzdepartement (FD)
1593,30.11.2005,2005/512,Robert Schönbächler,CVP,Anton Stäbler,CVP,Polizeidepartement (PD)
1594,03.11.2010,2010/457,Mauro Tuena,SVP,Bruno Wohler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1595,16.03.2016,2016/83,Roger Liebi,SVP,Peter Schick,SVP,
1596,14.07.2010,2010/319,Hans Jörg Käppeli,SP,Roger Tognella,FDP,Geschäftsbericht Stadtrat
1597,25.6.2003,2003/231,Anton Stäbler,CVP,Robert Schönbächler,CVP,
1598,08.01.20,2006/406,Gregor Bucher,Grüne,Muriel Herzig,Grüne,
1599,21.11.2007,2007/615,Susi Gut,PFZ,Markus Schwyn,PFZ,Sozialdepartement (SD)
1600,07.06.2017,2017/167,Andreas Kirstein,AL,Rosa Maino,AL,
1601,11.07.2018,2018/280,Guido Hüni,GLP,Shaibal Roy,GLP,
1602,28.03.2007,2007/167,Pascal Pauli,Grüne,Martin Sarbach,SP,Polizeidepartement (PD)
1603,23.11.2016,2016/406,Linda Bär,SP,Ann-Catherine Nabholz,GLP,Stadtrat
1604,18.6.2008,2008/280,Esther Straub,SP,Myriam Barzotto,SP,
1605,08.01.20,2003/225,Theo Hauri,SVP,Arthur Bernet,SVP,
1606,08.01.20,1995/67,Gody Müller,SVP,Peter Mächler,SVP,Finanzdepartement (FD)
1607,16.9.1998,1998/306,Ueli Keller,SP,Rolf Kuhn,SP,Gesundheits- und Umweltdepartement (GUD)
1608,26.1.2005,2005/28,Bruno Amacker,SVP,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1609,30.8.2006,2006/348,Andrew Katumba,SP,Gabriele Kisker,Grüne,Polizeidepartement (PD)
1610,18.6.2003,2003/219,Theo Hauri,SVP,Monika Erfigen,SVP,Finanzdepartement (FD)
1611,23.1.2002,2002/21,Werner Furrer,SVP,Mauro Tuena,SVP,Sozialdepartement (SD)
1612,28.02.2018,2018/79,Raphaël Tschanz,FDP,Albert Leiser,FDP,
1613,08.01.20,2015/300,Min Li Marti,SP,Jean-Daniel Strub,SP,
1614,22.10.2003,2003/386,Rolf Naef,SP,Marcel Savarioud,SP,Gesundheits- und Umweltdepartement (GUD)
1615,16.11.2005,2005/472,Astrid Hirzel,CVP,Robert Schönbächler,CVP,Polizeidepartement (PD)
1616,21.11.2018,2018/451,Pirmin Meyer,GLP,Zilla Roose,SP,Stadtrat
1617,24.8.2005,2005/314,Susi Gut,PFZ,Markus Schwyn,PFZ,Polizeidepartement (PD)
1618,09.05.2012,2012/195,Peter Küng,SP,Patrick Hadi Huber,SP,Polizeidepartement (PD)
1619,03.04.2019,2019/130,Matthias Probst,Grüne,Michael Kraft,SP,Stadtrat
1620,8.11.2000,2000/537,Peter Mächler,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
1621,29.5.2002,2002/181,Cornelia Schaub,SVP,Mauro Tuena,SVP,Präsidialdepartement (PRD)
1622,01.04.2009,2009/124,Richard Rabelbauer,EVP,Hanspeter Kunz,EVP,Präsidialdepartement (PRD)
1623,02.04.2014,2014/107,Markus Knauss,Grüne,Matthias Probst,Grüne,Polizeidepartement (PD)
1624,30.09.2015,2015/328,Samuel Balsiger,SVP,Thomas Osbahr,SVP,Polizeidepartement (PD)
1625,01.04.2009,2009/118,Beatrice Reimann,SP,Andreas Ammann,SP,Tiefbau- und Entsorgungsdepartement (TED)
1626,6.12.2006,2006/572,Ueli Nagel,Grüne,Pierino Cerliani,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
1627,06.03.2013,2013/70,Hans Jörg Käppeli,SP,Marcel Schönbächler,CVP,
1628,21.1.2009,2009/28,Peter Stähli-Barth,SP,Bruno Sidler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1629,12.1.2000,2000/18,Lorenz Habicher,SVP,Hans Marolf,SVP,Departement der Industriellen Betriebe (DIB)
1630,27.11.2013,2013/423,Christoph Spiess,SD,Patrick Blöchlinger,SD,Präsidialdepartement (PRD)
1631,6.12.2006,2006/566,Roger Liebi,SVP,Monika Erfigen,SVP,
1632,21.6.2000,2000/292,Peter Marti,FDP,Monjek Rosenheim,FDP,Stadtschreiber/in (STS)
1633,05.02.2014,2014/45,Jean-Daniel Strub,SP,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED)
1634,06.11.2013,2013/379,Tamara Lauber,FDP,Michael Schmid,FDP,
1635,19.1.2000,2000/24,Rolf André Siegenthaler-Benz,SVP,Monika Erfigen,SVP,Finanzdepartement (FD)
1636,15.06.2016,2016/228,Walter Angst,AL,Markus Merki,GLP,
1637,04.04.2018,2018/135,Markus Kunz,Grüne,Helen Glaser,SP,
1638,30.3.2005,2005/116,Ernst Danner,EVP,Hanspeter Kunz,EVP,Schul- und Sportdepartement (SSD)
1639,23.10.2019,2019/440,Katharina Prelicz-Huber,Grüne,Vera Ziswiler,SP,Stadtrat
1640,2.10.2002,2002/397,Roger Liebi,SVP,Martin Burger,SVP,Finanzdepartement (FD)
1641,08.07.2009,2009/326,Jacqueline Badran,SP,Andreas Ammann,SP,
1642,9.5.2001,2001/240,Ruth Anhorn,SVP,Luzi Rüegg,SVP,Polizeidepartement (PD)
1643,22.05.2013,2013/184,Gabriele Kisker,Grüne,Eva-Maria Würth,SP,
1644,3.3.2004,2004/97,Susi Gut,PFZ,Markus Schwyn,PFZ,Gesundheits- und Umweltdepartement (GUD)
1645,29.10.2014,2014/339,Albert Leiser,FDP,Severin Pflüger,FDP,Hochbaudepartement (HBD)
1646,22.10.1997,1997/426,Alfred Heer,SVP,Hans Marolf,SVP,Polizeidepartement (PD)
1647,25.2.2004,2004/83,Marina Garzotto,SVP,Bruno Amacker,SVP,Polizeidepartement (PD)
1648,25.9.2002,2002/354,Robert Schönbächler,CVP,Georg Schmid,CVP,Polizeidepartement (PD)
1649,29.4.2003,2003/147,Cornelia Schaub,SVP,Mauro Tuena,SVP,Polizeidepartement (PD)
1650,5.3.2003,2003/75,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
1651,30.5.2001,2001/283,Monika Erfigen,SVP,Cornelia Schaub,SVP,Polizeidepartement (PD)
1652,28.10.2009,2009/483,Jacqueline Badran,SP,Fiammetta Jahreiss-Montagnani,SP,"Finanzdepartement (FD), Präsidialdepartement (PRD)"
1653,28.10.2002,2002/426,Roger Liebi,SVP,Christopher Vohdin,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1654,13.01.2010,2010/21,Mauro Tuena,SVP,Stephan Lienhard,SVP,Ablehnung
1655,09.05.2007,2007/239,Salvatore Di Concilio,SP,Rebekka Wyler,SP,Gesundheits- und Umweltdepartement (GUD)
1656,25.9.2002,2002/368,Rolf André Siegenthaler-Benz,SVP,Luzi Rüegg,SVP,Polizeidepartement (PD)
1657,6.10.1999,1999/505,Oliver B. Meier,SVP,Christian Mettler,SVP,Polizeidepartement (PD)
1658,08.02.2017,2017/28,Daniel Regli,SVP,Martin Götzl,SVP,
