,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
152,30.10.2019,2019/473,Olivia Romanelli,AL,links,Ernst Danner,EVP,mitte,Gemeinderat
153,30.10.2019,2019/467,Balz Bürgisser,Grüne,links,Roger Bartholdi,SVP,rechts,Stadtrat
154,08.02.2017,2017/27,Pawel Silberring,SP,links,Guy Krayenbühl,GLP,mitte,Stadtrat
155,2.10.2002,2002/401,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
156,9.5.2007,2007/237,Daniel Leupi,Grüne,links,Doris Weber,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
157,22.10.1997,1997/428,Luzia Vieli-Hardegger,LdU,mitte,Simone Bertogg-Baudet,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
159,6.12.2006,2006/568,Bastien Girod,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
160,28.11.2018,2018/463,Pablo Bünger,FDP,rechts,Helen Glaser,SP,links,
161,7.3.2001,2001/104,Emil Seliner,SP,links,Placidus Maissen,CVP,mitte,Hochbaudepartement (HBD)
162,4.6.2008,2008/259,Josef Widler,CVP,mitte,Heinz Jacobi,SP,links,Sozialdepartement (SD)
163,7.7.1999,1999/319,Rolf Kuhn,SP,links,Kurt Tschopp,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
164,4.3.2009,2000/129,Robert Schönbächler,CVP,mitte,Heinz Bögle,SP,links,"Hochbaudepartement (HBD), Schul- und Sportdepartement (SSD)"
165,08.01.20,2006/387,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,
166,02.03.2016,2016/64,Marcel Bührig,Grüne,links,Sven Sobernheim,GLP,mitte,
167,25.06.2008,2008/298,Monika Bloch Süss,CSP,mitte,Gabriele Kisker,Grüne,links,Departement der Industriellen Betriebe (DIB)
168,03.04.2019,2019/128,Hans Jörg Käppeli,SP,links,Ann-Catherine Nabholz,GLP,mitte,Gemeinderat
169,23.06.2010,2010/275,Thomas Wyss,Grüne,links,Hanspeter Kunz,EVP,mitte,Finanzdepartement (FD)
170,21.1.2009,2009/30,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
171,30.10.2019,2019/464,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Stadtrat
173,06.07.2011,2011/264,Matthias Probst,Grüne,links,Marcel Schönbächler,CVP,mitte,Polizeidepartement (PD)
174,06.01.2010,2010/10,Monika Bloch Süss,CSP,mitte,Karin Meier-Bohrer,Grüne,links,Sozialdepartement (SD)
175,30.10.2019,2019/465,Përparim Avdili,FDP,rechts,Pascal Lamprecht,SP,links,Gemeinderat
176,04.04.2018,2018/138,Guido Hüni,GLP,mitte,Markus Kunz,Grüne,links,Stadtrat
177,22.11.2006,2006/543,Judith Bucher,SP,links,Doris Weber,FDP,rechts,
178,15.06.2016,2016/225,Barbara Wiesmann,SP,links,Guy Krayenbühl,GLP,mitte,Stadtrat
179,05.03.2014,2014/60,Simone Brander,SP,links,Guido Trevisan,GLP,mitte,
180,21.1.2009,2009/31,Bruno Sidler,SVP,rechts,Peter Stähli-Barth,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
181,03.04.2019,2019/129,Markus Knauss,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Stadtrat
182,02.11.2016,2016/379,Dorothea Frei,SP,links,Heinz Schatt,SVP,rechts,
183,01.12.2010,2010/499,Matthias Probst,Grüne,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
185,19.06.2019,2019/277,Balz Bürgisser,Grüne,links,Sebastian Vogel,FDP,rechts,Gemeinderat
186,30.01.2008,2008/83,Martin Abele,Grüne,links,Monika Bloch Süss,CSP,mitte,Geschäftsbericht Stadtrat
187,27.11.2019,2019/508,Marion Schmid,SP,links,Maria del Carmen Señorán,SVP,rechts,Stadtrat
188,26.06.2019,2019/291,Sebastian Vogel,FDP,rechts,Balz Bürgisser,Grüne,links,Gemeinderat
189,24.06.2009,2009/285,Monika Bloch Süss,CSP,mitte,Gabriele Kisker,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
190,08.01.20,1998/33,Johanna Tremp,SP,links,Kathy Riklin,CVP,mitte,Hochbaudepartement (HBD)
191,14.07.2010,2010/319,Hans Jörg Käppeli,SP,links,Roger Tognella,FDP,rechts,Geschäftsbericht Stadtrat
193,23.11.2016,2016/406,Linda Bär,SP,links,Ann-Catherine Nabholz,GLP,mitte,Stadtrat
194,21.11.2018,2018/451,Pirmin Meyer,GLP,mitte,Zilla Roose,SP,links,Stadtrat
196,06.03.2013,2013/70,Hans Jörg Käppeli,SP,links,Marcel Schönbächler,CVP,mitte,
197,21.1.2009,2009/28,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
198,05.02.2014,2014/45,Jean-Daniel Strub,SP,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
199,15.06.2016,2016/228,Walter Angst,AL,links,Markus Merki,GLP,mitte,
201,9.5.2007,2007/238,Martin Sarbach,SP,links,Katrin Schönenberger-Meier,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
202,26.2.2003,2003/60,Werner Sieg,SP,links,Claudia Rütsche,CVP,mitte,
203,28.06.2017,2017/210,Walter Angst,AL,links,Isabel Garcia,GLP,mitte,Stadtrat
204,22.05.2013,2013/185,Renate Fischer,SP,links,Martin Bürki,FDP,rechts,Stadtrat
205,23.10.2019,2019/441,Mathias Egloff,SP,links,Guido Hüni,GLP,mitte,Stadtrat
206,21.1.2009,2009/29,Bruno Sidler,SVP,rechts,Peter Stähli-Barth,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
207,30.08.2006,2006/349,Yvonne Müller,SP,links,Astrid Hirzel,CVP,mitte,Hochbaudepartement (HBD)
208,14.07.2010,2010/318,Roger Tognella,FDP,rechts,Hans Jörg Käppeli,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
209,22.3.2006,2006/93,Beatrice Reimann,SP,links,Robert Schönbächler,CVP,mitte,Hochbaudepartement (HBD)
211,23.03.2011,2011/89,Michael Baumer,FDP,rechts,Markus Knauss,Grüne,links,Schul- und Sportdepartement (SSD)
212,11.06.2008,2008/268,Bernhard Piller,Grüne,links,Ernst Danner,EVP,mitte,
213,3.3.2004,2004/104,Ueli Nagel,Grüne,links,Willy Furter,EVP,mitte,Hochbaudepartement (HBD)
214,10.01.2007,2007/8,Pierino Cerliani,Grüne,links,Michael Baumer,FDP,rechts,
215,23.6.1999,1999/274,Robert Schönbächler,CVP,mitte,Markus Bischoff,AL,links,Departement der Industriellen Betriebe (DIB)
216,04.04.2018,2018/137,Markus Kunz,Grüne,links,Guido Hüni,GLP,mitte,
218,16.03.2016,2016/81,Marcel Savarioud,SP,links,Karin Weyermann,CVP,mitte,
219,20.06.2018,2018/241,Urs Egger,FDP,rechts,Anjushka Früh,SP,links,Schul- und Sportdepartement (SSD)
220,02.09.2015,2015/276,Marcel Savarioud,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
222,05.06.2019,2019/250,Andrea Leitner Verhoeven,AL,links,Ann-Catherine Nabholz,GLP,mitte,Stadtrat
223,05.06.2019,2019/244,Nadia Huberson,SP,links,Përparim Avdili,FDP,rechts,Gemeinderat
224,07.12.2011,2011/468,Michel Urben,SP,links,Marcel Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
225,8.3.2000,2000/109,Joe A. Manser,SP,links,Max Fritz,FDP,rechts,Geschäftsbericht Stadtrat
226,2.6.2004,2004/288,Christina Bellin-Isele,SP,links,Thomas  Kappeler,CVP,mitte,Hochbaudepartement (HBD)
227,24.11.2010,2010/486,Christina Hug,Grüne,links,Isabel Garcia,GLP,mitte,Präsidialdepartement (PRD)
230,4.6.2003,2003/183,Daniel Leupi,Grüne,links,Robert Schönbächler,CVP,mitte,Geschäftsbericht Stadtrat
231,08.06.2016,2016/207,Marco Denoth,SP,links,Ann-Catherine Nabholz,GLP,mitte,
232,13.11.2013,2013/395,Roger Tognella,FDP,rechts,Dorothea Frei,SP,links,Sozialdepartement (SD)
233,1.11.2000,2000/524,Hans-Ulrich Meier,FDP,rechts,Werner Sieg,SP,links,Hochbaudepartement (HBD)
234,29.08.2018,2018/318,Stefan Urech,SVP,rechts,Urs Helfenstein,SP,links,Stadtrat
235,18.05.2016,2016/171,Markus Knauss,Grüne,links,Christian Traber,CVP,mitte,
236,8.2.2006,2006/56,Pierino Cerliani,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
237,27.11.2019,2019/519,Nicole Giger,SP,links,Sven Sobernheim,GLP,mitte,Gemeinderat
238,22.9.2004,2004/512,Franziska Graf,SP,links,Thomas  Kappeler,CVP,mitte,
239,12.06.2019,2019/257,Sven Sobernheim,GLP,mitte,Res Marti,Grüne,links,Gemeinderat
240,03.09.2014,2014/274,Eduard Guggenheim,AL,links,Adrian Gautschi,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
241,13.6.2007,2007/348,Albert Leiser,FDP,rechts,Niklaus Scherr,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
242,1.2.2006,2006/40,Salvatore Di Concilio,SP,links,Robert Schönbächler,CVP,mitte,Präsidialdepartement (PRD)
243,08.01.20,2005/39,Maya Burri-Wenger,SP,links,Gerold Lauber,CVP,mitte,
244,19.06.2013,2013/234,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,
246,09.06.2010,2010/254,Sacha Walker,GLP,mitte,Rebekka Wyler,SP,links,Polizeidepartement (PD)
247,15.12.2004,2004/670,Hans Jörg Käppeli,SP,links,Kurt Maeder,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
248,01.04.2009,2009/121,Monika Bloch Süss,CSP,mitte,Marianne Spieler Frauenfelder,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
249,26.05.2010,2006/577,Pierino Cerliani,Grüne,links,Claudia Rabelbauer,EVP,mitte,
250,08.06.2016,2016/205,Urs Egger,FDP,rechts,Anjushka Früh,SP,links,
251,23.6.2004,2004/328,Alexander Jäger,FDP,rechts,Pierino Cerliani,Grüne,links,Polizeidepartement (PD)
252,9.6.2004,2004/300,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,
253,23.3.2005,2005/107,Maya Burri-Wenger,SP,links,Roger Tognella,FDP,rechts,Polizeidepartement (PD)
255,13.01.2010,2010/24,Hans Jörg Käppeli,SP,links,Ruth Ackermann,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
256,17.04.2013,2013/156,Alan David Sangines,SP,links,Samuel Dubno,GLP,mitte,
