,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
0,25.11.2009,2009/562,Kurt Hüssy,SVP,rechts,Peter Anderegg,EVP,mitte,Polizeidepartement (PD)
1,28.09.2011,2011/362,Alecs Recher,AL,links,Maleica Landolt,GLP,mitte,Finanzdepartement (FD)
2,20.10.2004,2004/541,Niklaus Scherr,AL,links,Kurt Maeder,CVP,mitte,Hochbaudepartement (HBD)
3,16.05.2013,2005/550,Mario Mariani,CVP,mitte,Muriel Herzig,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
4,06.01.2016,2016/16,Christina Schiller,AL,links,Mario Babini,Parteilos,mitte,Polizeidepartement (PD)
5,31.10.2018,2018/413,Ernst Danner,EVP,mitte,Raphael Kobler,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
6,1.12.2004,2004/637,Corine Mauch,SP,links,Albert Leiser,FDP,rechts,Finanzdepartement (FD)
7,19.09.2018,2018/361,Matthias Probst,Grüne,links,Guido Hüni,GLP,mitte,Gesundheits- und Umweltdepartement (GUD)
8,15.11.2000,2000/549,Köbi Möri,Parteilos,mitte,Hansruedi Bär,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
9,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,rechts,Markus Hungerbühler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
10,22.06.2016,2016/242,Christian Traber,CVP,mitte,Urs Helfenstein,SP,links,Schul- und Sportdepartement (SSD)
11,7.4.2004,2004/192,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
12,06.03.2019,2019/84,Ernst Danner,EVP,mitte,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
13,12.07.2017,2017/247,Ursula Uttinger,FDP,rechts,Marco Denoth,SP,links,Finanzdepartement (FD)
14,10.04.2013,2013/139,Ursula Uttinger,FDP,rechts,Irene Bernhard,GLP,mitte,Sozialdepartement (SD)
15,30.01.2019,2019/46,Markus Baumann,GLP,mitte,Marco Denoth,SP,links,Gesundheits- und Umweltdepartement (GUD)
16,05.12.2012,2012/465,Michèle Halser-Furrer,EVP,mitte,Thomas Wyss,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
17,13.03.2019,2019/91,Balz Bürgisser,Grüne,links,Yasmine Bourgeois,FDP,rechts,Schul- und Sportdepartement (SSD)
18,18.04.2018,2018/162,Elisabeth Schoch,FDP,rechts,Guy Krayenbühl,GLP,mitte,Gesundheits- und Umweltdepartement (GUD)
19,06.07.2016,2016/257,Jonas Steiner,SP,links,Ursula Uttinger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
20,11.06.2014,2014/187,Peter Küng,SP,links,Gian von Planta,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
21,31.01.2007,2007/52,Daniel Meier,CVP,mitte,Albert Leiser,FDP,rechts,Hochbaudepartement (HBD)
23,21.6.2006,2006/257,Heinz Jacobi,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
24,14.03.2012,2012/101,Cäcilia Hänni-Etter,FDP,rechts,Isabel Garcia,GLP,mitte,Departement der Industriellen Betriebe (DIB)
25,27.1.1999,1999/30,Hermann Aebi,Parteilos,mitte,Hans Marolf,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
26,22.6.2005,2003/306,Robert Schönbächler,CVP,mitte,Daniel Leupi,Grüne,links,Polizeidepartement (PD)
27,04.06.2014,2014/178,Ursula Uttinger,FDP,rechts,Markus Baumann,GLP,mitte,Sozialdepartement (SD)
28,11.11.2015,2015/357,Markus Hungerbühler,CVP,mitte,Raphael Kobler,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
29,24.3.2004,2004/150,Albert Leiser,FDP,rechts,Peter Püntener,GLP,mitte,Schul- und Sportdepartement (SSD)
30,16.12.2009,2009/601,Bruno Wohler,SVP,rechts,Thomas Wyss,Grüne,links,Hochbaudepartement (HBD)
31,30.09.2009,2007/642,Daniel Leupi,Grüne,links,Roger Tognella,FDP,rechts,Hochbaudepartement (HBD)
32,16.12.2016,2016/451,Mario Mariani,CVP,mitte,Heinz F. Steger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
33,18.05.2011,2005/551,Bernhard Piller,Grüne,links,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
34,8.2.2005,2005/223,Corine Mauch,SP,links,Ernst Danner,EVP,mitte,Departement der Industriellen Betriebe (DIB)
35,3.5.2006,2006/135,Judith Bucher,SP,links,Christian Traber,CVP,mitte,Sozialdepartement (SD)
36,10.11.2004,2004/583,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
37,20.04.2016,2016/135,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
38,13.05.2009,2009/205,Heinz F. Steger,FDP,rechts,Jacqueline Badran,SP,links,"Finanzdepartement (FD), Hochbaudepartement (HBD), Präsidialdepartement (PRD)"
39,25.11.2009,2009/563,Pierino Cerliani,Grüne,links,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
40,08.01.20,2014/230,Marcel Schönbächler,CVP,mitte,Peter Küng,SP,links,Finanzdepartement (FD)
41,25.11.2009,2009/561,Daniel Regli,SVP,rechts,Peter Anderegg,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
42,25.11.2009,2009/549,Walter Angst,AL,links,Jean-Claude Virchaux,CVP,mitte,Finanzdepartement (FD)
43,21.09.2011,2011/349,Dorothea Frei,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
44,15.01.2020,2020/14,Marcel Müller,FDP,rechts,Pascal Lamprecht,SP,links,Sicherheitsdepartement (SID)
45,04.02.2015,2015/44,Markus Knauss,Grüne,links,Guido Trevisan,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
46,20.04.2016,2016/137,Marcel Tobler,SP,links,Markus Hungerbühler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
47,18.1.2006,2006/10,Roger Tognella,FDP,rechts,Gerold Lauber,CVP,mitte,Sozialdepartement (SD)
48,29.09.2010,2010/416,Gabriele Kisker,Grüne,links,Samuel Dubno,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
49,9.2.2005,2005/41,Robert Schönbächler,CVP,mitte,Heinz Bögle,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
50,31.01.2018,2018/38,Alexander Brunner,FDP,rechts,Shaibal Roy,GLP,mitte,Finanzdepartement (FD)
51,03.07.2013,2013/258,Ann-Catherine Nabholz,GLP,mitte,Heinz F. Steger,FDP,rechts,Hochbaudepartement (HBD)
52,1.12.2004,2004/634,Maya Burri-Wenger,SP,links,Gerold Lauber,CVP,mitte,Finanzdepartement (FD)
53,10.12.2003,2003/489,Oliver B. Meier,SVP,rechts,Gerold Lauber,CVP,mitte,Hochbaudepartement (HBD)
54,23.01.2013,2013/25,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,Sozialdepartement (SD)
55,11.12.1996,2006/255,Bastien Girod,Grüne,links,Ernst Danner,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
56,9.2.2000,2000/65,Jürg R. Schüepp,FDP,rechts,Willy Furter,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
58,02.04.2008,2008/160,Heinz F. Steger,FDP,rechts,Daniel Meier,CVP,mitte,Hochbaudepartement (HBD)
59,13.03.2019,2019/93,Sven Sobernheim,GLP,mitte,Andri Silberschmidt,FDP,rechts,Sicherheitsdepartement (SID)
61,12.07.2017,2017/244,Roger Liebi,SVP,rechts,Markus Knauss,Grüne,links,Präsidialdepartement (PRD)
63,27.01.2010,2010/60,Myrtha Meuli,SP,links,Hans Bachmann,FDP,rechts,Hochbaudepartement (HBD)
64,29.01.20,2002/300,Joe A. Manser,SP,links,Andreas J. Schlegel,FDP,rechts,Schul- und Sportdepartement (SSD)
65,2.4.2008,2008/161,Ueli Nagel,Grüne,links,Claudia Rabelbauer,EVP,mitte,Schul- und Sportdepartement (SSD)
66,05.11.2014,2014/351,Heinz F. Steger,FDP,rechts,Ruth Ackermann,CVP,mitte,Polizeidepartement (PD)
68,15.06.2011,2011/214,Isabel Garcia,GLP,mitte,Fiammetta Jahreiss-Montagnani,SP,links,Schul- und Sportdepartement (SSD)
69,10.12.2003,2003/488,Oliver B. Meier,SVP,rechts,Gerold Lauber,CVP,mitte,Hochbaudepartement (HBD)
70,26.10.2005,2005/426,Ueli Nagel,Grüne,links,Monjek Rosenheim,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
71,09.01.2019,2019/4,Marcel Müller,FDP,rechts,Pascal Lamprecht,SP,links,Hochbaudepartement (HBD)
72,20.01.2016,2016/28,Hans Urs von Matt,SP,links,Christian Traber,CVP,mitte,Präsidialdepartement (PRD)
74,06.06.2018,2018/217,Guido Hüni,GLP,mitte,Andreas Kirstein,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
75,21.12.2005,2005/552,Bernhard Piller,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
76,22.8.2007,2007/457,Robert Schönbächler,CVP,mitte,Heinz Jacobi,SP,links,Departement der Industriellen Betriebe (DIB)
77,20.04.2016,2016/136,Jonas Steiner,SP,links,Shaibal Roy,GLP,mitte,Schul- und Sportdepartement (SSD)
78,1.2.2006,2006/39,Mario Mariani,CVP,mitte,Daniel Leupi,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
79,10.6.1998,1998/187,Niklaus Scherr,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
80,25.03.2015,2015/92,Markus Hungerbühler,CVP,mitte,Urs Fehr,SVP,rechts,Polizeidepartement (PD)
82,28.09.2011,2011/360,Gian von Planta,GLP,mitte,Katrin Wüthrich,SP,links,Polizeidepartement (PD)
83,25.11.2009,2009/564,Heinz F. Steger,FDP,rechts,Peter Anderegg,EVP,mitte,Polizeidepartement (PD)
84,20.12.2000,2000/611,Köbi Möri,Parteilos,mitte,Jürg Casparis,SVP,rechts,Polizeidepartement (PD)
85,10.7.2002,2002/258,Daniel Leupi,Grüne,links,Alexander Jäger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
87,10.11.2004,2004/584,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
89,15.11.2006,2006/495,Gregor Bucher,Grüne,links,Ernst Danner,EVP,mitte,Präsidialdepartement (PRD)
90,21.3.2001,2001/172,Köbi Möri,Parteilos,mitte,Theo Hauri,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
91,21.09.2016,2016/318,Renate Fischer,SP,links,Isabel Garcia,GLP,mitte,Hochbaudepartement (HBD)
92,23.8.2006,2006/330,Robert Schönbächler,CVP,mitte,Niklaus Scherr,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
93,27.01.2016,2016/38,Mario Babini,Parteilos,mitte,Michael Schmid,FDP,rechts,Präsidialdepartement (PRD)
94,11.03.2009,2009/93,Susi Gut,PFZ,rechts,Ernst Danner,EVP,mitte,Sozialdepartement (SD)
95,24.08.2016,2016/278,Reto Vogelbacher,CVP,mitte,Elisabeth Schoch,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
96,29.06.2016,2016/250,Alan David Sangines,SP,links,Shaibal Roy,GLP,mitte,Sozialdepartement (SD)
97,06.03.2019,2019/82,Roger Bartholdi,SVP,rechts,Pascal Lamprecht,SP,links,Schul- und Sportdepartement (SSD)
99,09.04.2008,2008/171,Martin Sarbach,SP,links,Mario Mariani,CVP,mitte,Hochbaudepartement (HBD)
100,08.06.2011,2011/204,Guido Trevisan,GLP,mitte,Alexander Jäger,FDP,rechts,Hochbaudepartement (HBD)
101,14.11.2001,2001/576,Robert Schönbächler,CVP,mitte,Andres Türler,FDP,rechts,Polizeidepartement (PD)
103,30.01.2019,2019/55,Isabel Garcia,GLP,mitte,Përparim Avdili,FDP,rechts,Präsidialdepartement (PRD)
104,26.3.2003,2003/117,Emil Seliner,SP,links,Robert Schönbächler,CVP,mitte,Finanzdepartement (FD)
105,18.5.2005,2005/191,Beatrice Reimann,SP,links,Ernst Danner,EVP,mitte,Departement der Industriellen Betriebe (DIB)
106,10.06.2015,2015/184,Matthias Probst,Grüne,links,Guido Trevisan,GLP,mitte,Polizeidepartement (PD)
108,17.03.2010,2003/116,Emil Seliner,SP,links,Robert Schönbächler,CVP,mitte,Finanzdepartement (FD)
109,23.08.2017,2017/268,Sven Sobernheim,GLP,mitte,Pascal Lamprecht,SP,links,Sicherheitsdepartement (SID)
111,4.2.2009,2009/45,Ueli Nagel,Grüne,links,Claudia Simon,FDP,rechts,Schul- und Sportdepartement (SSD)
112,24.10.2018,2018/399,Eduard Guggenheim,AL,links,Stefan Urech,SVP,rechts,Hochbaudepartement (HBD)
113,17.12.2003,2003/499,Thomas Marthaler,SP,links,Christian Traber,CVP,mitte,Schul- und Sportdepartement (SSD)
114,9.2.2005,2005/51,Marianne Dubs Früh,SP,links,Kurt Maeder,CVP,mitte,Polizeidepartement (PD)
115,28.10.1998,1998/343,Beat Badertscher,FDP,rechts,Peter Stähli-Barth,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
116,21.09.2016,2016/319,Marcel Bührig,Grüne,links,Sven Sobernheim,GLP,mitte,Sicherheitsdepartement (SID)
117,8.6.2005,2005/225,Marianne Dubs Früh,SP,links,Kurt Maeder,CVP,mitte,Polizeidepartement (PD)
118,21.3.2001,2001/173,Köbi Möri,Parteilos,mitte,Bruno Sidler,SVP,rechts,Departement der Industriellen Betriebe (DIB)
119,14.7.1999,1999/346,Niklaus Scherr,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
120,06.09.2017,2017/308,Stefan Urech,SVP,rechts,Reto Vogelbacher,CVP,mitte,Schul- und Sportdepartement (SSD)
121,5.4.2000,2000/176,Marcel Knörr,FDP,rechts,Hermann Aebi,Parteilos,mitte,Tiefbau- und Entsorgungsdepartement (TED)
122,11.12.2009,2009/598,Christian Traber,CVP,mitte,Daniel Leupi,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
126,16.12.1998,1998/433,Köbi Möri,Parteilos,mitte,Lorenz Habicher,SVP,rechts,Präsidialdepartement (PRD)
127,17.01.2018,2018/16,Katharina Prelicz-Huber,Grüne,links,Markus Baumann,GLP,mitte,Sozialdepartement (SD)
128,11.11.2015,2015/353,Markus Hungerbühler,CVP,mitte,Albert Leiser,FDP,rechts,Polizeidepartement (PD)
129,8.7.1998,1998/221,Rolf Kuhn,SP,links,Kurt Tschopp,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
130,29.06.2016,2016/253,Ann-Catherine Nabholz,GLP,mitte,Jean-Daniel Strub,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
131,06.03.2019,2019/81,Nicole Giger,SP,links,Andri Silberschmidt,FDP,rechts,Sicherheitsdepartement (SID)
134,18.09.2019,2017/243,Marco Denoth,SP,links,Sven Sobernheim,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
136,15.03.2017,2017/52,Roger-Paul Speck,SP,links,Markus Merki,GLP,mitte,Schul- und Sportdepartement (SSD)
137,16.09.2009,2009/406,Alexander Jäger,FDP,rechts,Bernhard Piller,Grüne,links,Departement der Industriellen Betriebe (DIB)
138,18.8.2004,2004/419,Andreas Ammann,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
139,29.06.2016,2016/252,Christina Schiller,AL,links,Guy Krayenbühl,GLP,mitte,Departement der Industriellen Betriebe (DIB)
140,11.09.2013,2013/317,Peter Küng,SP,links,Michael Schmid,FDP,rechts,Schul- und Sportdepartement (SSD)
141,31.08.2016,2016/291,Markus Merki,GLP,mitte,Pascal Lamprecht,SP,links,Präsidialdepartement (PRD)
142,5.7.2006,2006/291,Robert Schönbächler,CVP,mitte,Niklaus Scherr,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
143,5.10.2005,2005/408,Christine Seidler,SP,links,Gerold Lauber,CVP,mitte,Departement der Industriellen Betriebe (DIB)
144,03.07.2013,2013/263,Alexander Jäger,FDP,rechts,Kyriakos Papageorgiou,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
145,1.11.2006,2006/468,Robert Schönbächler,CVP,mitte,Niklaus Scherr,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
146,6.6.2007,2007/323,Mario Mariani,CVP,mitte,Bruno Wohler,SVP,rechts,Sozialdepartement (SD)
147,14.7.1999,1999/345,Markus Bischoff,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
148,22.05.2019,2019/214,Urs Egger,FDP,rechts,Anjushka Früh,SP,links,Schul- und Sportdepartement (SSD)
150,20.12.2002,2002/567,Susann Birrer,FDP,rechts,Claudia Nielsen,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
151,08.01.20,2007/344,Gregor Bucher,Grüne,links,Ernst Danner,EVP,mitte,Präsidialdepartement (PRD)
152,06.12.2017,2017/436,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Sicherheitsdepartement (SID)
153,4.6.2008,2008/262,Erika Bärtschi Hafner,FDP,rechts,Joe A. Manser,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
154,7.12.2005,2005/533,Gerold Lauber,CVP,mitte,Heinz F. Steger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
156,11.07.2018,2018/289,Corina Gredig,GLP,mitte,Marion Schmid,SP,links,Gesundheits- und Umweltdepartement (GUD)
157,16.04.2014,2014/126,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,Sozialdepartement (SD)
158,01.12.2010,2010/502,Fabienne Vocat,Grüne,links,Michael Baumer,FDP,rechts,Hochbaudepartement (HBD)
160,5.11.2003,2003/416,Georg Schmid,CVP,mitte,Werner Sieg,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
161,06.02.2013,2013/45,Alan David Sangines,SP,links,Marcel Schönbächler,CVP,mitte,Polizeidepartement (PD)
162,24.1.2007,2007/30,Karin Rykart Sutter,Grüne,links,Astrid Hirzel,CVP,mitte,Finanzdepartement (FD)
163,20.05.2015,2015/137,Min Li Marti,SP,links,Samuel Dubno,GLP,mitte,Polizeidepartement (PD)
164,03.07.2019,2019/313,Markus Merki,GLP,mitte,Heidi Egger,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
165,30.09.2009,2009/449,Christian Aeschbach,FDP,rechts,Christina Hug,Grüne,links,Departement der Industriellen Betriebe (DIB)
166,25.2.2004,2004/75,Michael Baumer,FDP,rechts,Balthasar Glättli,Grüne,links,Präsidialdepartement (PRD)
167,22.10.2014,2014/325,Nina Fehr Düsel,SVP,rechts,Karin Weyermann,CVP,mitte,Präsidialdepartement (PRD)
169,07.06.2006,2006/220,Richard Rabelbauer,EVP,mitte,Bastien Girod,Grüne,links,Präsidialdepartement (PRD)
170,27.02.2013,2013/50,Ursula Uttinger,FDP,rechts,Jean-Daniel Strub,SP,links,Schul- und Sportdepartement (SSD)
171,16.06.2010,2010/265,Florian Utz,SP,links,Guido Trevisan,GLP,mitte,Departement der Industriellen Betriebe (DIB)
172,16.04.2014,2014/127,Helen Glaser,SP,links,Alexander Jäger,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
173,21.10.2015,2015/334,Pascal Lamprecht,SP,links,Ursula Uttinger,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
174,23.06.2010,2010/271,Daniel Meier,CVP,mitte,Theo Hauri,SVP,rechts,Departement der Industriellen Betriebe (DIB)
175,19.06.2013,2013/239,Gerhard Bosshard,EVP,mitte,Esther Straub,SP,links,Präsidialdepartement (PRD)
176,07.02.2018,2018/65,Michael Kraft,SP,links,Sven Sobernheim,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
177,5.12.2007,2007/635,Walter Angst,AL,links,Ernst Danner,EVP,mitte,Finanzdepartement (FD)
178,19.08.2015,2015/268,Simone Brander,SP,links,Marc Bourgeois,FDP,rechts,Departement der Industriellen Betriebe (DIB)
179,14.07.2010,2010/311,Dorothea Frei,SP,links,Severin Pflüger,FDP,rechts,Finanzdepartement (FD)
180,11.4.2007,2007/184,Marcel Savarioud,SP,links,Josef Widler,CVP,mitte,Sozialdepartement (SD)
181,1.3.2006,2006/65,Niklaus Scherr,AL,links,Alexander Jäger,FDP,rechts,Departement der Industriellen Betriebe (DIB)
182,01.11.2017,2017/379,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Sicherheitsdepartement (SID)
183,20.04.2016,2016/142,Sven Sobernheim,GLP,mitte,Markus Kunz,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
