,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
377,1.2.2006,2006/40,Salvatore Di Concilio,SP,links,Robert Schönbächler,CVP,mitte,Präsidialdepartement (PRD)
378,10.5.2006,2006/173,Ernst Danner,EVP,mitte,Heinz F. Steger,FDP,rechts,Hochbaudepartement (HBD)
379,08.01.20,2005/39,Maya Burri-Wenger,SP,links,Gerold Lauber,CVP,mitte,Finanzdepartement (FD)
380,19.06.2013,2013/234,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
382,09.06.2010,2010/254,Sacha Walker,GLP,mitte,Rebekka Wyler,SP,links,Polizeidepartement (PD)
383,15.12.2004,2004/670,Hans Jörg Käppeli,SP,links,Kurt Maeder,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
384,2.2.2000,2000/35,Robert Schönbächler,CVP,mitte,Andres Türler,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
385,26.05.2010,2006/577,Pierino Cerliani,Grüne,links,Claudia Rabelbauer,EVP,mitte,Finanzdepartement (FD)
386,08.06.2016,2016/205,Urs Egger,FDP,rechts,Anjushka Früh,SP,links,Schul- und Sportdepartement (SSD)
387,23.6.2004,2004/328,Alexander Jäger,FDP,rechts,Pierino Cerliani,Grüne,links,Polizeidepartement (PD)
388,9.6.2004,2004/300,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
389,23.3.2005,2005/107,Maya Burri-Wenger,SP,links,Roger Tognella,FDP,rechts,Polizeidepartement (PD)
391,13.01.2010,2010/24,Hans Jörg Käppeli,SP,links,Ruth Ackermann,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
392,17.04.2013,2013/156,Alan David Sangines,SP,links,Samuel Dubno,GLP,mitte,Sozialdepartement (SD)
393,23.01.2019,2019/28,Markus Baumann,GLP,mitte,Marcel Tobler,SP,links,Sozialdepartement (SD)
394,21.06.2017,2017/201,Isabel Garcia,GLP,mitte,Michael Schmid,FDP,rechts,Schul- und Sportdepartement (SSD)
395,6.12.2006,2006/576,Pierino Cerliani,Grüne,links,Mario Mariani,CVP,mitte,Departement der Industriellen Betriebe (DIB)
