,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
553,08.01.20,1997/155,Hansueli Züllig,SVP,Robert Schönbächler,CVP,Schul- und Sportdepartement (SSD)
554,14.1.2009,2009/17,Ueli Nagel,Grüne,Uschi Heinrich,SP,
555,23.10.2019,2019/443,Përparim Avdili,FDP,Stefan Urech,SVP,Gemeinderat
556,2.10.2002,2002/394,Doris Fiala,FDP,Andreas J. Schlegel,,Polizeidepartement (PD)
557,4.6.2003,2003/187,Kurt Krebs,SL,Arthur Bernet,SVP,Gesundheits- und Umweltdepartement (GUD)
558,04.04.2018,2018/136,Markus Kunz,Grüne,Helen Glaser,SP,
559,08.01.20,2003/89,Christopher Vohdin,SVP,Markus Schwyn,PFZ,
560,10.01.2007,2007/8,Pierino Cerliani,Grüne,Michael Baumer,FDP,
561,5.3.2003,2003/76,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
562,28.06.2017,2017/212,Pawel Silberring,SP,Elena Marti,Grüne,
563,23.6.1999,1999/274,Robert Schönbächler,CVP,Markus Bischoff,AL,Departement der Industriellen Betriebe (DIB)
564,21.12.2011,2010/36,Bernhard Piller,Grüne,Davy Graf,SP,Departement der Industriellen Betriebe (DIB)
565,6.10.1999,1999/506,Christoph Hug,Grüne,Markus Bischoff,AL,
566,25.01.2017,2017/16,Michel Urben,SP,Karin Meier-Bohrer,Grüne,
567,18.04.2007,2007/213,Alecs Recher,AL,Martin Abele,Grüne,Polizeidepartement (PD)
568,25.2.2004,2004/81,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
569,4.6.2003,2003/186,Susi Gut,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Schul- und Sportdepartement (SSD)
570,23.3.2005,2005/114,Susi Gut,PFZ,Mauro Tuena,SVP,Stadtschreiber/in (STS)
571,04.04.2018,2018/137,Markus Kunz,Grüne,Guido Hüni,GLP,
572,9.5.2001,2001/242,Markus Schwyn,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Präsidialdepartement (PRD)
573,21.6.2000,2000/290,Markus Schwyn,PFZ,Mauro Tuena,SVP,Departement der Industriellen Betriebe (DIB)
574,19.11.2003,2003/435,Min Li Marti,SP,Gregor Bucher,,Präsidialdepartement (PRD)
575,17.3.2004,2004/139,Susi Gut,PFZ,Bernhard Britschgi,SVP,Präsidialdepartement (PRD)
576,25.10.2000,2000/509,Köbi Möri,Parteilos,Hans Marolf,SVP,Schul- und Sportdepartement (SSD)
577,28.3.2007,2007/165,Robert Schönbächler,CVP,Bruno Garzotto,SVP,Finanzdepartement (FD)
578,16.03.2016,2016/81,Marcel Savarioud,SP,Karin Weyermann,CVP,
579,08.01.20,1993/410,Toni Baur,Grüne,Ueli Keller,SP,Tiefbau- und Entsorgungsdepartement (TED)
580,20.06.2018,2018/241,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
581,02.09.2015,2015/276,Marcel Savarioud,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
582,29.9.1999,1999/473,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
583,26.9.2001,2001/478,Karl Gafner,FDP,Andreas J. Schlegel,,Finanzdepartement (FD)
584,19.06.2019,2019/278,Alexander Brunner,FDP,Pirmin Meyer,GLP,Gemeinderat
585,22.9.2004,2004/515,Gregor Bucher,,Pierino Cerliani,Grüne,Präsidialdepartement (PRD)
586,05.06.2019,2019/250,Andrea Leitner Verhoeven,AL,Ann-Catherine Nabholz,GLP,Stadtrat
587,05.06.2019,2019/244,Nadia Huberson,SP,Përparim Avdili,FDP,Gemeinderat
588,27.2.2008,2008/95,Ernst Danner,EVP,Urs Rechsteiner,,Rückzug
