,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
325,22.12.2010,2008/289,Niklaus Scherr,AL,Claudia Nielsen,SP,Departement der Industriellen Betriebe (DIB)
326,11.07.2018,2018/289,Corina Gredig,GLP,Marion Schmid,SP,Gesundheits- und Umweltdepartement (GUD)
327,9.11.2005,2005/453,Markus Knauss,Grüne,Claudia Nielsen,SP,Polizeidepartement (PD)
328,16.04.2014,2014/126,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD)
329,01.12.2010,2010/502,Fabienne Vocat,Grüne,Michael Baumer,FDP,Hochbaudepartement (HBD)
330,28.11.2018,2018/464,Balz Bürgisser,Grüne,Ursula Näf,SP,Schul- und Sportdepartement (SSD)
332,15.12.2004,2004/668,Markus Schwyn,PFZ,Roger Liebi,SVP,Finanzdepartement (FD)
333,16.09.2015,2015/309,Andreas Edelmann,SP,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
335,23.11.2005,2005/490,Markus Schwyn,PFZ,Roger Liebi,SVP,Finanzdepartement (FD)
336,5.11.2003,2003/416,Georg Schmid,CVP,Werner Sieg,SP,Tiefbau- und Entsorgungsdepartement (TED)
337,10.01.2018,2018/5,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Departement der Industriellen Betriebe (DIB)
338,06.02.2013,2013/45,Alan David Sangines,SP,Marcel Schönbächler,CVP,Polizeidepartement (PD)
339,24.1.2007,2007/30,Karin Rykart Sutter,Grüne,Astrid Hirzel,CVP,Finanzdepartement (FD)
340,06.07.2011,2011/261,Jacqueline Badran,SP,Balthasar Glättli,Grüne,Finanzdepartement (FD)
341,06.05.2015,2015/123,Simone Brander,SP,Simon Kälin-Werth,Grüne,Polizeidepartement (PD)
342,20.05.2015,2015/137,Min Li Marti,SP,Samuel Dubno,GLP,Polizeidepartement (PD)
343,03.07.2019,2019/313,Markus Merki,GLP,Heidi Egger,SP,Tiefbau- und Entsorgungsdepartement (TED)
344,30.09.2009,2009/449,Christian Aeschbach,FDP,Christina Hug,Grüne,Departement der Industriellen Betriebe (DIB)
345,30.6.1999,1999/295,Reto Dettli,SP,Balthasar Glättli,Grüne,Polizeidepartement (PD)
346,28.1.2004,2004/49,Markus Schwyn,PFZ,Ruth Anhorn,SVP,Schul- und Sportdepartement (SSD)
347,23.10.2002,2002/413,André Odermatt,SP,Niklaus Scherr,AL,Hochbaudepartement (HBD)
348,29.01.20,2003/172,Robert Schönbächler,CVP,Willy Furter,EVP,Departement der Industriellen Betriebe (DIB)
349,18.4.2007,2007/218,Alecs Recher,AL,Martin Abele,Grüne,Polizeidepartement (PD)
350,25.2.2004,2004/75,Michael Baumer,FDP,Balthasar Glättli,Grüne,Präsidialdepartement (PRD)
351,06.01.2010,2010/14,Monika Bloch Süss,CSP,Thomas Wyss,Grüne,Sozialdepartement (SD)
352,5.2.2003,2003/41,Kurt Krebs,SL,Arthur Bernet,SVP,Präsidialdepartement (PRD)
353,30.6.1999,1999/294,Balthasar Glättli,Grüne,Reto Dettli,SP,Polizeidepartement (PD)
354,22.10.2014,2014/325,Nina Fehr Düsel,SVP,Karin Weyermann,CVP,Präsidialdepartement (PRD)
356,30.10.2019,2019/474,Michael Kraft,SP,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
357,06.05.2015,2015/122,Rosa Maino,AL,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
358,07.06.2006,2006/220,Richard Rabelbauer,EVP,Bastien Girod,Grüne,Präsidialdepartement (PRD)
359,27.02.2013,2013/50,Ursula Uttinger,FDP,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
360,3.2.1999,1999/53,Luzi Rüegg,SVP,Kurt Miescher,SD,Departement der Industriellen Betriebe (DIB)
361,16.06.2010,2010/265,Florian Utz,SP,Guido Trevisan,GLP,Departement der Industriellen Betriebe (DIB)
362,28.11.2018,2018/465,Markus Kunz,Grüne,Michael Kraft,SP,Departement der Industriellen Betriebe (DIB)
363,16.04.2014,2014/127,Helen Glaser,SP,Alexander Jäger,FDP,Gesundheits- und Umweltdepartement (GUD)
364,21.10.2015,2015/334,Pascal Lamprecht,SP,Ursula Uttinger,FDP,Gesundheits- und Umweltdepartement (GUD)
