Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2015-09-02,2015/276,Marcel Savarioud,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2008-05-28,2008/241,Marco V. Camin,FDP,Bernhard Piller,Grüne,Hochbaudepartement (HBD)
2018-02-28,2018/84,Patrick Albrecht,FDP,Markus Hungerbühler,CVP,Hochbaudepartement (HBD)
1999-09-29,1999/473,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2019-06-19,2019/278,Alexander Brunner,FDP,Pirmin Meyer,GLP,Präsidialdepartement (PRD)
2019-06-05,2019/250,Andrea Leitner Verhoeven,AL,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2019-06-05,2019/244,Nadia Huberson,SP,Përparim Avdili,FDP,Präsidialdepartement (PRD)
2008-02-27,2008/95,Ernst Danner,EVP,Urs Rechsteiner,CVP,
2009-06-17,2009/268,Severin Pflüger,FDP,Daniel Meier,CVP,Hochbaudepartement (HBD)
2001-02-28,2001/89,Markus Schwyn,PFZ,Hansruedi Bär,SVP,Sozialdepartement (SD)
2011-12-07,2011/468,Michel Urben,SP,Marcel Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2000-03-08,2000/109,Joe A. Manser,SP,Max Fritz,FDP,Departement der Industriellen Betriebe (DIB)
2019-12-04,2019/532,Guido Hüni,GLP,Sebastian Vogel,FDP,Departement der Industriellen Betriebe (DIB)
2014-08-27,2014/263,Hans Jörg Käppeli,SP,Andreas Kirstein,AL,Departement der Industriellen Betriebe (DIB)
2004-06-02,2004/288,Christina Bellin-Isele,SP,Thomas  Kappeler,CVP,Hochbaudepartement (HBD)
2007-06-20,2007/363,Albert Leiser,FDP,Hedy Schlatter,SVP,Sozialdepartement (SD)
2011-03-30,2011/98,Marc Bourgeois,FDP,Guido Trevisan,GLP,Polizeidepartement (PD)
2016-11-16,2016/399,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,Finanzdepartement (FD)
2006-09-20,2006/399,Alecs Recher,AL,Matthias Probst,Grüne,Polizeidepartement (PD)
2018-07-11,2018/279,Barbara Wiesmann,SP,Res Marti,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2000-10-04,2000/486,Köbi Möri,Parteilos,Luzi Rüegg,SVP,Polizeidepartement (PD)
2010-11-24,2010/486,Christina Hug,Grüne,Isabel Garcia,GLP,Präsidialdepartement (PRD)
2013-03-13,2013/89,Gabriele Kisker,Grüne,Simone Brander,SP,Hochbaudepartement (HBD)
2002-06-05,2002/187,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2008-07-02,2008/325,Dominique Feuillet,SP,Matthias Probst,Grüne,Polizeidepartement (PD)
2009-09-16,2004/667,Susi Gut,PFZ,Thomas Schwendener,SVP,Präsidialdepartement (PRD)
2000-11-01,2000/525,Köbi Möri,Parteilos,Werner Furrer,SVP,Schul- und Sportdepartement (SSD)
2014-02-26,2014/57,Martin Luchsinger,GLP,Jean-Claude Virchaux,CVP,Finanzdepartement (FD)
2018-12-05,2018/480,Balz Bürgisser,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
2018-12-12,2018/494,Markus Knauss,Grüne,Hans Jörg Käppeli,SP,Departement der Industriellen Betriebe (DIB)
2013-03-06,2013/76,Marc Bourgeois,FDP,Mauro Tuena,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2015-04-15,2015/110,Michel Urben,SP,Karin Meier-Bohrer,Grüne,Polizeidepartement (PD)
2004-06-16,2004/317,Markus Schwyn,PFZ,Bruno Garzotto,SVP,Sozialdepartement (SD)
2018-03-28,2018/127,Helen Glaser,SP,Markus Kunz,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2019-11-13,2019/491,Olivia Romanelli,AL,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2011-07-13,2011/291,Marcel Schönbächler,CVP,Florian Utz,SP,Departement der Industriellen Betriebe (DIB)
2017-01-18,2017/12,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
2001-05-30,2001/291,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
2009-10-28,2009/490,Fiammetta Jahreiss-Montagnani,SP,Christian Traber,CVP,Hochbaudepartement (HBD)
2007-10-24,2007/564,Markus Knauss,Grüne,Beatrice Reimann,SP,Tiefbau- und Entsorgungsdepartement (TED)
2001-12-31,2001/290,Joe A. Manser,SP,Christoph Hug,Grüne,Hochbaudepartement (HBD)
2017-01-18,2017/13,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
2007-10-24,2007/570,Ruth Anhorn,SVP,Claudia Simon,FDP,Schul- und Sportdepartement (SSD)
2013-04-10,2013/140,Irene Bernhard,GLP,Ursula Uttinger,FDP,Sozialdepartement (SD)
2019-01-16,2019/16,Katharina Prelicz-Huber,Grüne,Natalie Eberle,AL,Sozialdepartement (SD)
2004-01-28,2004/47,Gregor Bucher,Grüne,Mark Richli,SP,Schul- und Sportdepartement (SSD)
2005-03-23,2005/111,Roger Liebi,SVP,Markus Schwyn,PFZ,Hochbaudepartement (HBD)
2015-04-08,2015/105,Petek Altinay,SP,Matthias Probst,Grüne,Polizeidepartement (PD)
2003-06-04,2003/183,Daniel Leupi,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2001-05-09,2001/253,Markus Schwyn,PFZ,Jürg Casparis,SVP,Finanzdepartement (FD)
2009-09-30,2009/447,Jean-Daniel Strub,SP,Balthasar Glättli,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2018-03-28,2018/126,Helen Glaser,SP,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
2016-06-08,2016/207,Marco Denoth,SP,Ann-Catherine Nabholz,GLP,Hochbaudepartement (HBD)
2018-12-06,2018/481,Mischa Schiwow,AL,Marianne Aubert,SP,Finanzdepartement (FD)
2013-11-27,2013/424,Pascal Lamprecht,SP,Joachim Hagger,FDP,Zuteilung ausstehend
2013-11-13,2013/395,Roger Tognella,FDP,Dorothea Frei,SP,Sozialdepartement (SD)
2000-11-01,2000/524,Hans-Ulrich Meier,FDP,Werner Sieg,SP,Hochbaudepartement (HBD)
2004-03-03,2004/100,Susi Gut,PFZ,Roger Bartholdi,SVP,Polizeidepartement (PD)
2005-08-24,2005/313,Markus Schwyn,PFZ,Mauro Tuena,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-11-14,2018/442,Simone Brander,SP,Simon Kälin-Werth,Grüne,Sicherheitsdepartement (SID)
2002-06-05,2002/186,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2005-11-09,2005/449,Peter Püntener,GLP,Gerold Lauber,CVP,Polizeidepartement (PD)
2018-08-29,2018/318,Stefan Urech,SVP,Urs Helfenstein,SP,Sicherheitsdepartement (SID)
2000-10-04,2000/487,Köbi Möri,Parteilos,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-01-31,2018/42,Pascal Lamprecht,SP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2007-03-21,2007/148,Susi Gut,PFZ,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
2015-08-19,2015/273,Eduard Guggenheim,AL,Simon Kälin-Werth,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2018-02-28,2018/81,Barbara Wiesmann,SP,Eva Hirsiger,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2011-03-30,2011/99,Gabriele Kisker,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2016-11-16,2016/398,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,Finanzdepartement (FD)
2016-05-18,2016/171,Markus Knauss,Grüne,Christian Traber,CVP,Polizeidepartement (PD)
2011-12-14,2011/496,Kathy Steiner,Grüne,Simone Brander,SP,Polizeidepartement (PD)
2019-06-19,2019/282,Olivia Romanelli,AL,Brigitte Fürer,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2006-02-08,2006/56,Pierino Cerliani,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-06-03,2009/241,Mario Mariani,CVP,Hanspeter Kunz,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2008-02-06,2008/90,Mischa Morgenbesser,FDP,Richard Rabelbauer,EVP,Sozialdepartement (SD)
2004-05-26,2004/262,Susi Gut,PFZ,Hansruedi Bär,SVP,Schul- und Sportdepartement (SSD)
2011-12-07,2011/469,Rebekka Wyler,SP,Walter Angst,AL,Finanzdepartement (FD)
2009-06-17,2009/269,Marcel Z'graggen,CVP,Peter Anderegg,EVP,Finanzdepartement (FD)
2019-11-27,2019/519,Nicole Giger,SP,Sven Sobernheim,GLP,Schul- und Sportdepartement (SSD)
2004-09-22,2004/512,Franziska Graf,SP,Thomas  Kappeler,CVP,Gesundheits- und Umweltdepartement (GUD)
2019-06-12,2019/257,Sven Sobernheim,GLP,Res Marti,Grüne,Sicherheitsdepartement (SID)
2014-09-03,2014/274,Eduard Guggenheim,AL,Adrian Gautschi,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2007-06-13,2007/348,Albert Leiser,FDP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
1999-07-07,1999/312,Balthasar Glättli,Grüne,Markus Bischoff,AL,Polizeidepartement (PD)
2006-02-01,2006/40,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,Präsidialdepartement (PRD)
2006-05-10,2006/173,Ernst Danner,EVP,Heinz F. Steger,FDP,Hochbaudepartement (HBD)
2007-07-11,2007/406,Daniel Leupi,Grüne,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
2016-05-18,2016/167,Matthias Probst,Grüne,Davy Graf,SP,Hochbaudepartement (HBD)
2005-12-31,2005/39,Maya Burri-Wenger,SP,Gerold Lauber,CVP,Finanzdepartement (FD)
2003-06-25,2003/234,Walter Angst,AL,Balthasar Glättli,Grüne,Finanzdepartement (FD)
2013-06-19,2013/234,Niklaus Scherr,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2004-03-03,2004/102,Gregor Bucher,Grüne,Mark Richli,SP,Schul- und Sportdepartement (SSD)
2000-11-01,2000/526,Niklaus Scherr,AL,Heinz Jacobi,SP,Departement der Industriellen Betriebe (DIB)
2010-06-09,2010/254,Sacha Walker,GLP,Rebekka Wyler,SP,Polizeidepartement (PD)
2003-10-22,2003/383,Susi Gut,PFZ,Bruno Wohler,SVP,Polizeidepartement (PD)
2004-12-15,2004/670,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-04-01,2009/121,Monika Bloch Süss,CSP,Marianne Spieler Frauenfelder,SP,Tiefbau- und Entsorgungsdepartement (TED)
2000-02-02,2000/35,Robert Schönbächler,CVP,Andres Türler,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2007-01-24,2007/28,Bernhard Piller,Grüne,André Odermatt,SP,Departement der Industriellen Betriebe (DIB)
2010-05-26,2006/577,Pierino Cerliani,Grüne,Claudia Rabelbauer,EVP,Finanzdepartement (FD)
2016-06-08,2016/205,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
2014-10-22,2014/328,Renate Fischer,SP,Eduard Guggenheim,AL,Hochbaudepartement (HBD)
2004-06-23,2004/328,Alexander Jäger,FDP,Pierino Cerliani,Grüne,Polizeidepartement (PD)
2013-05-29,2013/195,Michel Urben,SP,Karin Meier-Bohrer,Grüne,Finanzdepartement (FD)
2004-06-09,2004/300,Niklaus Scherr,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2005-03-23,2005/107,Maya Burri-Wenger,SP,Roger Tognella,FDP,Polizeidepartement (PD)
2010-01-13,2010/24,Hans Jörg Käppeli,SP,Ruth Ackermann,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2019-11-13,2019/486,Anjushka Früh,SP,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
2013-04-17,2013/156,Alan David Sangines,SP,Samuel Dubno,GLP,Sozialdepartement (SD)
2007-04-18,2007/214,Balthasar Glättli,Grüne,Jacqueline Badran,SP,Finanzdepartement (FD)
2001-05-30,2001/286,Bruno Sidler,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
2019-01-23,2019/28,Markus Baumann,GLP,Marcel Tobler,SP,Sozialdepartement (SD)
2017-06-21,2017/201,Isabel Garcia,GLP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD)
2001-05-30,2001/287,Markus Schwyn,PFZ,Rolf André Siegenthaler-Benz,SVP,Finanzdepartement (FD)
2007-10-24,2007/567,Mauro Tuena,SVP,Urs Egger,FDP,Präsidialdepartement (PRD)
2010-01-13,2010/25,Matthias Probst,Grüne,Salvatore Di Concilio,SP,Hochbaudepartement (HBD)
2018-03-21,2018/119,Markus Knauss,Grüne,Simone Brander,SP,Sicherheitsdepartement (SID)
2004-02-25,2004/87,Susi Gut,PFZ,Monika Erfigen,SVP,Polizeidepartement (PD)
2014-03-12,2014/69,Duri Beer,SP,Peider Filli,Grüne,Finanzdepartement (FD)
2003-11-12,2003/427,Susi Gut,PFZ,Mauro Tuena,SVP,Schul- und Sportdepartement (SSD)
2006-12-06,2006/576,Pierino Cerliani,Grüne,Mario Mariani,CVP,Departement der Industriellen Betriebe (DIB)
2007-01-24,2007/29,Karin Rykart Sutter,Grüne,Hans Urs von Matt,SP,Finanzdepartement (FD)
2003-10-01,2003/369,Daniel Leupi,Grüne,Christian Traber,CVP,Departement der Industriellen Betriebe (DIB)
2000-01-12,2000/20,Markus Schwyn,PFZ,Hansruedi Bär,SVP,Sozialdepartement (SD)
2013-10-30,2013/369,Marcel Schönbächler,CVP,Peter Küng,SP,Finanzdepartement (FD)
2005-11-23,2005/489,Balthasar Glättli,Grüne,Gerold Lauber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-01-07,2009/10,Daniel Meier,CVP,Peter Anderegg,EVP,Gesundheits- und Umweltdepartement (GUD)
2012-04-18,2008/333,Martin Sarbach,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2009-04-01,2009/120,Hans Bachmann,FDP,Peter Anderegg,EVP,Polizeidepartement (PD)
2004-12-15,2004/671,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Departement der Industriellen Betriebe (DIB)
2018-12-31,2018/327,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID)
2004-03-03,2004/103,Ueli Nagel,Grüne,Franziska Graf,SP,Gesundheits- und Umweltdepartement (GUD)
2018-09-05,2018/333,Christina Schiller,AL,Luca Maggi,Grüne,Finanzdepartement (FD)
2004-12-15,2004/665,Myriam Barzotto,SP,Christoph Hug,Grüne,Gesundheits- und Umweltdepartement (GUD)
2015-09-09,2015/304,Linda Bär,SP,Felix Moser,Grüne,Polizeidepartement (PD)
2014-03-26,2014/96,Eva-Maria Würth,SP,Karin Weyermann,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2019-03-20,2019/108,Markus Baumann,GLP,Marco Geissbühler,SP,Sozialdepartement (SD)
2008-06-18,2008/284,Niklaus Scherr,AL,Jacqueline Badran,SP,Finanzdepartement (FD)
2013-06-19,2013/235,Guido Trevisan,GLP,Marcel Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
2005-01-12,2005/10,Martin Burger,SVP,Susi Gut,PFZ,Schul- und Sportdepartement (SSD)
2003-12-31,2003/235,Walter Angst,AL,Balthasar Glättli,Grüne,Finanzdepartement (FD)
2007-12-05,2007/639,Walter Angst,AL,Jean-Claude Virchaux,CVP,Sozialdepartement (SD)
2013-06-05,2013/209,Marco Denoth,SP,Markus Hungerbühler,CVP,Polizeidepartement (PD)
2000-09-13,2000/447,Markus Schwyn,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
2017-06-14,2017/188,Ann-Catherine Nabholz,GLP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2010-01-06,2010/1,Gabriele Kisker,Grüne,Andrew Katumba,SP,Finanzdepartement (FD)
2016-05-18,2016/172,Eduard Guggenheim,AL,Renate Fischer,SP,Hochbaudepartement (HBD)
2011-12-14,2011/495,Hans Jörg Käppeli,SP,Thomas Wyss,Grüne,Departement der Industriellen Betriebe (DIB)
2002-06-19,2002/218,Marcel Savarioud,SP,Gerold Lauber,CVP,Gesundheits- und Umweltdepartement (GUD)
2004-05-26,2004/261,Bernhard Britschgi,SVP,Susi Gut,PFZ,Polizeidepartement (PD)
2019-12-04,2019/524,Marion Schmid,SP,Corina Ursprung,FDP,Sozialdepartement (SD)
2001-06-13,2001/330,Markus Schwyn,PFZ,Marina Garzotto,SVP,Präsidialdepartement (PRD)
2014-09-03,2014/275,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
2009-06-10,2009/256,Pierino Cerliani,Grüne,Jean-Daniel Strub,SP,Präsidialdepartement (PRD)
2008-02-06,2008/87,Gregor Bucher,Grüne,Mischa Morgenbesser,FDP,Schul- und Sportdepartement (SSD)
2019-12-04,2019/530,Florian Utz,SP,Matthias Probst,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2001-06-06,2001/318,Renate Schoch,AL,Thelma Huber,FraP,Hochbaudepartement (HBD)
2004-05-12,2004/249,Susi Gut,PFZ,Kurt Haueter,SVP,Hochbaudepartement (HBD)
2002-08-21,2002/280,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
2019-05-22,2019/225,Elena Marti,Grüne,Alan David Sangines,SP,Sicherheitsdepartement (SID)
2002-07-03,2002/243,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
2016-03-23,2016/101,Marcel Bührig,Grüne,Eduard Guggenheim,AL,Gesundheits- und Umweltdepartement (GUD)
2002-11-27,2002/519,Rolf Kuhn,SP,Anton Stäbler,CVP,Sozialdepartement (SD)
2001-03-14,2001/155,Luzi Rüegg,SVP,Markus Schwyn,PFZ,Hochbaudepartement (HBD)
2001-03-21,2001/169,Markus Schwyn,PFZ,Bruno Sidler,SVP,Finanzdepartement (FD)
2005-03-09,2005/88,Susi Gut,PFZ,Mauro Tuena,SVP,Departement der Industriellen Betriebe (DIB)
2013-06-26,2013/252,Simon Kälin-Werth,Grüne,Andreas Edelmann,SP,Departement der Industriellen Betriebe (DIB)
2006-10-25,2006/459,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
2016-01-27,2016/37,Guy Krayenbühl,GLP,Christoph Luchsinger,FDP,Präsidialdepartement (PRD)
2018-11-21,2015/405,Roger Tognella,FDP,Marco Denoth,SP,Sicherheitsdepartement (SID)
2004-03-31,2004/164,Gerold Lauber,CVP,Albert Leiser,FDP,Sozialdepartement (SD)
2005-09-21,2005/377,Susi Gut,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
2015-11-25,2015/377,Urs Fehr,SVP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-11-07,2018/426,Corina Gredig,GLP,Jean-Daniel Strub,SP,Präsidialdepartement (PRD)
2004-03-31,2004/170,Susi Gut,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
2004-12-31,2004/158,Georg Schmid,CVP,Werner Sieg,SP,Hochbaudepartement (HBD)
2000-03-01,2000/90,Markus Schwyn,PFZ,Marina Garzotto,SVP,Departement der Industriellen Betriebe (DIB)
2003-11-19,2003/440,Roger Liebi,SVP,Catrina Luchsinger Gähwiler,FDP,Finanzdepartement (FD)
2013-01-16,2013/13,Gian von Planta,GLP,Patrick Hadi Huber,SP,Tiefbau- und Entsorgungsdepartement (TED)
2013-12-11,2013/440,2013_0440 Protokollauszug Beschluss.pdf,32 KB,2013_0440 Protokollauszug substanziell.pdf,35 KB,Finanzdepartement (FD)
2005-09-28,2005/388,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
2009-09-23,2009/437,Josef Widler,CVP,Ernst Danner,EVP,Gesundheits- und Umweltdepartement (GUD)
2010-02-03,2010/81,Ueli Nagel,Grüne,Christine Seidler,SP,Departement der Industriellen Betriebe (DIB)
2005-04-13,2005/149,Alexander Jäger,FDP,Anton Stäbler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2002-10-30,2002/445,Hans-Ulrich Meier,FDP,Alexander Weber,SVP,Finanzdepartement (FD)
2017-08-23,2017/266,Markus Baumann,GLP,Alexander Brunner,FDP,Sozialdepartement (SD)
2019-02-06,2019/66,Andri Silberschmidt,FDP,Vera Ziswiler,SP,Finanzdepartement (FD)
2002-10-30,2002/450,Markus Schwyn,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Gesundheits- und Umweltdepartement (GUD)
2013-01-09,2013/5,Esther Straub,SP,Kathy Steiner,Grüne,Polizeidepartement (PD)
2015-06-03,2015/174,Markus Knauss,Grüne,Simone Brander,SP,Gesundheits- und Umweltdepartement (GUD)
2015-05-27,2015/160,Roger-Paul Speck,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2019-03-13,2019/98,Markus Merki,GLP,Stefan Urech,SVP,Präsidialdepartement (PRD)
2003-11-26,2003/455,Markus Schwyn,PFZ,Roger Bartholdi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2016-07-06,2016/262,Andreas Egli,FDP,Markus Hungerbühler,CVP,Polizeidepartement (PD)
2016-08-31,2016/289,Karin Meier-Bohrer,Grüne,Michel Urben,SP,Schul- und Sportdepartement (SSD)
2014-05-21,2014/165,Andreas Kirstein,AL,Isabel Garcia,GLP,Schul- und Sportdepartement (SSD)
2015-12-16,2015/410,Markus Hungerbühler,CVP,Albert Leiser,FDP,Polizeidepartement (PD)
2003-12-17,2003/496,Susi Gut,PFZ,Roger Liebi,SVP,Präsidialdepartement (PRD)
2018-09-12,2018/341,Andri Silberschmidt,FDP,Gabriele Kisker,Grüne,Hochbaudepartement (HBD)
2008-07-09,2008/341,Walter Angst,AL,Rebekka Wyler,SP,Polizeidepartement (PD)
2016-01-27,2016/36,Andrea Nüssli,SP,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
2002-02-06,2002/57,Robert Schönbächler,CVP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2006-10-25,2006/458,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
2001-03-28,2001/197,Ruth Anhorn,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
2008-12-17,2008/584,Walter Angst,AL,Balthasar Glättli,Grüne,Polizeidepartement (PD)
2016-12-21,2016/470,Hans Jörg Käppeli,SP,Markus Knauss,Grüne,Sicherheitsdepartement (SID)
2017-04-12,2017/105,Andreas Kirstein,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2001-03-14,2001/154,Markus Schwyn,PFZ,Jürg Casparis,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2013-08-21,2013/290,Martin Luchsinger,GLP,Karin Weyermann,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2018-06-13,2018/221,Anjushka Früh,SP,Luca Maggi,Grüne,Sicherheitsdepartement (SID)
2000-09-06,2000/435,Markus Schwyn,PFZ,Arthur Bernet,SVP,Polizeidepartement (PD)
2012-02-01,2012/46,Gerhard Bosshard,EVP,Bernhard Piller,Grüne,Hochbaudepartement (HBD)
2010-04-14,2010/192,Hans Bachmann,FDP,Ruth Anhorn,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2016-03-23,2016/100,Stefan Urech,SVP,Elisabeth Schoch,FDP,Polizeidepartement (PD)
2002-07-03,2002/242,Robert Schönbächler,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
1999-07-14,1999/349,Silvia Seiz,SP,Niklaus Scherr,AL,Finanzdepartement (FD)
2010-04-14,2010/186,Marcel Z'graggen,CVP,Martin Mächler,EVP,Gesundheits- und Umweltdepartement (GUD)
2020-01-22,2020/23,Andri Silberschmidt,FDP,Stephan Iten,SVP,Sicherheitsdepartement (SID)
2000-04-05,2000/179,Markus Schwyn,PFZ,Thomas Meier,SVP,Sozialdepartement (SD)
2010-05-26,2000/145,Monika Spring-Gross,SP,Katharina Prelicz-Huber,Grüne,Departement der Industriellen Betriebe (DIB)
2009-05-27,2009/224,Jean-Claude Virchaux,CVP,Balthasar Glättli,Grüne,Finanzdepartement (FD)
2001-08-22,2001/424,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2019-05-22,2019/230,Elena Marti,Grüne,Ursula Näf,SP,Sozialdepartement (SD)
2000-03-29,2000/147,Katharina Prelicz-Huber,Grüne,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
2001-08-29,2001/432,Joe A. Manser,SP,Urs Lauffer,FDP,Hochbaudepartement (HBD)
2019-05-22,2019/232,Ezgi Akyol,AL,Luca Maggi,Grüne,Sozialdepartement (SD)
2011-11-16,2011/432,Jacqueline Badran,SP,Matthias Probst,Grüne,Finanzdepartement (FD)
2000-04-12,2000/184,Theresa G. Hensch-Stadelmann,FDP,Willy Furter,EVP,Gesundheits- und Umweltdepartement (GUD)
2010-04-14,2010/190,Hans Bachmann,FDP,Ruth Anhorn,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2017-12-20,2017/463,Patrick Hadi Huber,SP,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2015-03-11,2015/71,Felix Moser,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
1999-09-01,1999/405,Romeo Steiner,CVP,Willy Furter,EVP,Hochbaudepartement (HBD)
2001-12-06,2001/630,Niklaus Scherr,AL,Katharina Prelicz-Huber,Grüne,Finanzdepartement (FD)
2000-09-06,2000/437,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2006-11-15,2006/499,Gregor Bucher,Grüne,Mischa Morgenbesser,FDP,Präsidialdepartement (PRD)
2017-01-11,2017/3,Markus Baumann,GLP,Marcel Müller,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2011-05-25,2011/181,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2006-07-12,2006/314,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,Präsidialdepartement (PRD)
2005-03-02,2005/74,Min Li Marti,SP,Christoph Hug,Grüne,Präsidialdepartement (PRD)
2001-03-28,2001/195,Köbi Möri,Parteilos,Theo Hauri,SVP,Hochbaudepartement (HBD)
2018-01-31,2018/31,Jean-Daniel Strub,SP,Rosa Maino,AL,Schul- und Sportdepartement (SSD)
2005-02-09,2005/48,Susi Gut,PFZ,Roger Liebi,SVP,Präsidialdepartement (PRD)
2002-01-30,2002/41,Beat Badertscher,FDP,Werner Sieg,SP,Präsidialdepartement (PRD)
2018-11-07,2018/425,Urs Helfenstein,SP,Matthias Wiesmann,GLP,Präsidialdepartement (PRD)
2008-09-17,2008/425,Albert Leiser,FDP,Josef Widler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2015-12-16,2015/406,Christina Schiller,AL,Alan David Sangines,SP,Polizeidepartement (PD)
2012-03-28,2012/136,Matthias Probst,Grüne,Richard Wolff,AL,Tiefbau- und Entsorgungsdepartement (TED)
2003-09-10,2003/331,Heidi Bucher-Steinegger,Grüne,Werner Sieg,SP,Polizeidepartement (PD)
